,date,min,avg,max
0,12/21/45,-0.9 °F,6.0 °F,12.0 °F
1,12/22/45,1.0 °F,7.4 °F,12.9 °F
2,12/23/45,9.0 °F,19.2 °F,23.0 °F
3,12/24/45,19.9 °F,23.6 °F,30.0 °F
4,12/25/45,27.0 °F,31.8 °F,37.0 °F
5,12/26/45,26.1 °F,27.8 °F,28.9 °F
6,12/27/45,10.0 °F,19.5 °F,28.0 °F
7,12/28/45,16.0 °F,25.5 °F,36.0 °F
8,12/29/45,32.0 °F,34.3 °F,37.0 °F
9,12/30/45,30.9 °F,33.9 °F,36.0 °F
10,12/31/45,17.1 °F,23.6 °F,30.9 °F
11,1/1/46,3.9 °F,11.4 °F,19.0 °F
12,1/2/46,9.0 °F,17.3 °F,27.0 °F
13,1/3/46,27.0 °F,31.3 °F,37.0 °F
14,1/4/46,34.0 °F,36.9 °F,41.0 °F
15,1/5/46,41.0 °F,47.4 °F,54.0 °F
16,1/6/46,41.0 °F,45.6 °F,54.0 °F
17,1/7/46,30.0 °F,33.1 °F,39.9 °F
18,1/8/46,30.0 °F,31.8 °F,34.0 °F
19,1/9/46,32.0 °F,34.6 °F,36.0 °F
20,1/10/46,28.0 °F,29.7 °F,32.0 °F
21,1/11/46,27.0 °F,30.2 °F,34.0 °F
22,1/12/46,19.0 °F,28.8 °F,34.0 °F
23,1/13/46,7.0 °F,13.3 °F,18.0 °F
24,1/14/46,15.1 °F,28.2 °F,41.0 °F
25,1/15/46,17.1 °F,23.1 °F,33.1 °F
26,1/16/46,10.0 °F,19.6 °F,32.0 °F
27,1/17/46,21.9 °F,27.1 °F,37.0 °F
28,1/18/46,30.0 °F,35.5 °F,48.0 °F
29,1/19/46,21.9 °F,26.2 °F,39.9 °F
30,1/20/46,23.0 °F,24.5 °F,28.0 °F
31,1/21/46,3.0 °F,10.5 °F,24.1 °F
32,1/22/46,0.0 °F,7.0 °F,19.0 °F
33,1/23/46,15.1 °F,24.9 °F,35.1 °F
34,1/24/46,21.9 °F,30.7 °F,35.1 °F
35,1/25/46,15.1 °F,24.2 °F,37.0 °F
36,1/26/46,-4.0 °F,7.6 °F,25.0 °F
37,1/27/46,-2.0 °F,9.1 °F,30.0 °F
38,1/28/46,27.0 °F,31.1 °F,39.9 °F
39,1/29/46,21.9 °F,30.8 °F,43.0 °F
40,1/30/46,33.1 °F,35.7 °F,41.0 °F
41,1/31/46,10.0 °F,17.4 °F,35.1 °F
42,2/1/46,12.0 °F,21.6 °F,37.9 °F
43,2/2/46,8.1 °F,14.4 °F,30.0 °F
44,2/3/46,3.0 °F,13.7 °F,27.0 °F
45,2/4/46,26.1 °F,29.4 °F,34.0 °F
46,2/5/46,35.1 °F,44.5 °F,55.0 °F
47,2/6/46,19.9 °F,32.2 °F,55.9 °F
48,2/7/46,14.0 °F,20.0 °F,30.9 °F
49,2/8/46,23.0 °F,34.4 °F,50.0 °F
50,2/9/46,17.1 °F,24.6 °F,39.9 °F
51,2/10/46,12.0 °F,18.4 °F,25.0 °F
52,2/11/46,18.0 °F,25.0 °F,33.1 °F
53,2/12/46,27.0 °F,34.7 °F,46.0 °F
54,2/13/46,27.0 °F,33.6 °F,39.9 °F
55,2/14/46,12.0 °F,20.6 °F,27.0 °F
56,2/15/46,-4.0 °F,4.1 °F,17.1 °F
57,2/16/46,18.0 °F,32.5 °F,45.0 °F
58,2/17/46,18.0 °F,28.9 °F,39.9 °F
59,2/18/46,27.0 °F,31.1 °F,36.0 °F
60,2/19/46,30.9 °F,33.6 °F,37.0 °F
61,2/20/46,21.9 °F,27.6 °F,35.1 °F
62,2/21/46,23.0 °F,28.7 °F,37.0 °F
63,2/22/46,30.9 °F,34.9 °F,39.0 °F
64,2/23/46,30.0 °F,33.3 °F,36.0 °F
65,2/24/46,25.0 °F,30.4 °F,34.0 °F
66,2/25/46,21.9 °F,27.7 °F,37.9 °F
67,2/26/46,28.9 °F,33.5 °F,35.1 °F
68,2/27/46,21.0 °F,26.1 °F,30.0 °F
69,2/28/46,21.0 °F,29.4 °F,45.0 °F
70,3/1/46,39.0 °F,42.4 °F,50.0 °F
71,3/2/46,30.9 °F,38.5 °F,51.1 °F
72,3/3/46,30.0 °F,41.4 °F,62.1 °F
73,3/4/46,32.0 °F,44.6 °F,57.9 °F
74,3/5/46,32.0 °F,36.1 °F,44.1 °F
75,3/6/46,39.9 °F,54.8 °F,60.1 °F
76,3/7/46,32.0 °F,40.2 °F,48.9 °F
77,3/8/46,35.1 °F,37.5 °F,41.0 °F
78,3/9/46,19.0 °F,26.4 °F,35.1 °F
79,3/10/46,21.0 °F,26.9 °F,32.0 °F
80,3/11/46,23.0 °F,32.5 °F,48.0 °F
81,3/12/46,41.0 °F,49.7 °F,66.0 °F
82,3/13/46,48.0 °F,56.5 °F,68.0 °F
83,3/14/46,48.9 °F,52.5 °F,61.0 °F
84,3/15/46,45.0 °F,47.4 °F,54.0 °F
85,3/16/46,39.9 °F,46.0 °F,51.1 °F
86,3/17/46,42.1 °F,47.5 °F,52.0 °F
87,3/18/46,39.0 °F,40.1 °F,42.1 °F
88,3/19/46,37.9 °F,42.1 °F,48.0 °F
89,3/20/46,34.0 °F,45.4 °F,57.0 °F
90,12/21/46,30.0 °F,31.8 °F,34.0 °F
91,12/22/46,30.0 °F,31.7 °F,34.0 °F
92,12/23/46,28.9 °F,35.3 °F,39.0 °F
93,12/24/46,23.0 °F,27.0 °F,34.0 °F
94,12/25/46,15.1 °F,26.0 °F,45.0 °F
95,12/26/46,19.0 °F,29.0 °F,42.1 °F
96,12/27/46,24.1 °F,36.5 °F,57.0 °F
97,12/28/46,28.0 °F,35.5 °F,57.9 °F
98,12/29/46,19.0 °F,28.2 °F,32.0 °F
99,12/30/46,1.9 °F,12.7 °F,19.0 °F
100,12/31/46,-2.9 °F,6.8 °F,12.9 °F
101,1/1/47,-2.0 °F,15.1 °F,27.0 °F
102,1/2/47,26.1 °F,27.5 °F,30.0 °F
103,1/3/47,14.0 °F,22.5 °F,28.0 °F
104,1/4/47,0.0 °F,8.0 °F,14.0 °F
105,1/5/47,1.9 °F,6.2 °F,15.1 °F
106,1/6/47,14.0 °F,20.2 °F,28.0 °F
107,1/7/47,23.0 °F,27.7 °F,34.0 °F
108,1/8/47,19.9 °F,28.5 °F,36.0 °F
109,1/9/47,16.0 °F,23.5 °F,28.0 °F
110,1/10/47,24.1 °F,30.4 °F,37.9 °F
111,1/11/47,36.0 °F,38.0 °F,39.0 °F
112,1/12/47,24.1 °F,28.9 °F,35.1 °F
113,1/13/47,28.9 °F,32.6 °F,37.9 °F
114,1/14/47,37.0 °F,43.1 °F,50.0 °F
115,1/15/47,28.0 °F,33.1 °F,41.0 °F
116,1/16/47,24.1 °F,27.3 °F,33.1 °F
117,1/17/47,23.0 °F,30.0 °F,41.0 °F
118,1/18/47,26.1 °F,34.9 °F,46.9 °F
119,1/19/47,28.9 °F,36.7 °F,48.0 °F
120,1/20/47,26.1 °F,34.1 °F,39.9 °F
121,1/21/47,-2.0 °F,9.8 °F,28.9 °F
122,1/22/47,3.0 °F,10.1 °F,25.0 °F
123,1/23/47,19.0 °F,30.2 °F,48.9 °F
124,1/24/47,39.0 °F,42.0 °F,48.9 °F
125,1/25/47,32.0 °F,39.2 °F,46.0 °F
126,1/26/47,30.0 °F,38.4 °F,45.0 °F
127,1/27/47,37.0 °F,41.1 °F,48.0 °F
128,1/28/47,25.0 °F,31.4 °F,39.0 °F
129,1/29/47,27.0 °F,30.1 °F,34.0 °F
130,1/30/47,28.0 °F,31.0 °F,35.1 °F
131,1/31/47,17.1 °F,21.1 °F,32.0 °F
132,2/1/47,10.0 °F,17.6 °F,28.0 °F
133,2/2/47,-2.9 °F,10.2 °F,26.1 °F
134,2/3/47,26.1 °F,31.6 °F,41.0 °F
135,2/4/47,-0.9 °F,3.0 °F,19.9 °F
136,2/5/47,-2.9 °F,2.5 °F,9.0 °F
137,2/6/47,3.9 °F,9.6 °F,19.0 °F
138,2/7/47,3.0 °F,9.2 °F,18.0 °F
139,2/8/47,1.9 °F,7.3 °F,14.0 °F
140,2/9/47,6.1 °F,10.6 °F,16.0 °F
141,2/10/47,9.0 °F,14.0 °F,23.0 °F
142,2/11/47,14.0 °F,21.4 °F,32.0 °F
143,2/12/47,28.9 °F,33.4 °F,42.1 °F
144,2/13/47,28.9 °F,35.2 °F,43.0 °F
145,2/14/47,36.0 °F,39.8 °F,46.0 °F
146,2/15/47,28.9 °F,32.9 °F,39.9 °F
147,2/16/47,27.0 °F,30.7 °F,34.0 °F
148,2/17/47,27.0 °F,30.3 °F,34.0 °F
149,2/18/47,12.9 °F,21.3 °F,34.0 °F
150,2/19/47,3.0 °F,12.0 °F,24.1 °F
151,2/20/47,19.0 °F,22.4 °F,27.0 °F
152,2/21/47,18.0 °F,21.7 °F,25.0 °F
153,2/22/47,10.9 °F,18.6 °F,21.9 °F
154,2/23/47,12.0 °F,13.7 °F,16.0 °F
155,2/24/47,12.9 °F,26.2 °F,30.0 °F
156,2/25/47,27.0 °F,28.2 °F,28.9 °F
157,2/26/47,25.0 °F,28.0 °F,30.9 °F
158,2/27/47,10.9 °F,19.2 °F,23.0 °F
159,2/28/47,10.9 °F,23.1 °F,30.9 °F
160,3/1/47,24.1 °F,25.6 °F,28.0 °F
161,3/2/47,23.0 °F,26.2 °F,28.0 °F
162,3/3/47,23.0 °F,26.0 °F,28.0 °F
163,3/4/47,18.0 °F,29.0 °F,35.1 °F
164,3/5/47,18.0 °F,30.4 °F,37.0 °F
165,3/6/47,28.0 °F,32.1 °F,35.1 °F
166,3/7/47,30.0 °F,30.7 °F,32.0 °F
167,3/8/47,27.0 °F,31.5 °F,35.1 °F
168,3/9/47,24.1 °F,32.4 °F,36.0 °F
169,3/10/47,26.1 °F,36.1 °F,41.0 °F
170,3/11/47,28.9 °F,38.3 °F,42.1 °F
171,3/12/47,35.1 °F,45.6 °F,51.1 °F
172,3/13/47,36.0 °F,38.2 °F,39.9 °F
173,3/14/47,28.0 °F,31.0 °F,36.0 °F
174,3/15/47,19.0 °F,25.2 °F,28.0 °F
175,3/16/47,21.0 °F,27.3 °F,30.0 °F
176,3/17/47,21.9 °F,29.8 °F,35.1 °F
177,3/18/47,24.1 °F,33.9 °F,41.0 °F
178,3/19/47,27.0 °F,37.5 °F,44.1 °F
179,3/20/47,30.0 °F,38.9 °F,43.0 °F
180,12/21/47,19.9 °F,29.3 °F,39.0 °F
181,12/22/47,19.0 °F,25.7 °F,30.0 °F
182,12/23/47,23.0 °F,28.0 °F,30.0 °F
183,12/24/47,26.1 °F,28.6 °F,32.0 °F
184,12/25/47,23.0 °F,27.5 °F,32.0 °F
185,12/26/47,18.0 °F,25.6 °F,32.0 °F
186,12/27/47,21.9 °F,31.6 °F,41.0 °F
